Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Age_Group,Gen_Group,DaysAsCustomer,NumChildren,NumAcceptedCmp,Total_Purchases,Total_Spending,Conversion_Rate
S1,Janda,47916000.0,0,1,2012-11-22,72,505000,0,26000,0,0,75000,5,7,4,6,6,0,1,0,0,0,0,0,62,Senior,Boomers,3599,1,1,22,606000,0.2
S1,Cerai,51813000.0,1,1,2013-04-11,37,51000,2000,7000,0,1000,2000,2,2,0,3,7,0,0,0,0,0,0,0,50,Mature,Gen X,3459,2,0,7,63000,0.0
D3,Menikah,78497000.0,0,0,2013-12-01,44,207000,26000,447000,75000,0,223000,1,5,7,12,2,0,0,0,1,0,0,0,71,Late Senior,Boomers,3225,0,1,25,978000,0.5
S3,Menikah,50150000.0,0,0,2013-06-20,32,135000,46000,92000,65000,61000,11000,2,5,2,7,5,0,0,0,0,0,0,0,39,Late Adult,Millennials,3389,0,0,16,410000,0.0
D3,Lajang,47823000.0,0,1,2013-07-23,0,53000,1000,5000,2000,1000,10000,2,2,0,3,8,0,0,0,0,0,0,0,62,Senior,Boomers,3356,1,0,7,72000,0.0
S3,Lajang,34554000.0,0,1,2014-03-30,43,41000,1000,6000,2000,0,5000,2,2,0,3,6,0,0,0,0,0,0,0,63,Senior,Boomers,3106,1,0,7,55000,0.0
S1,Bertunangan,85693000.0,0,1,2013-04-20,59,386000,172000,183000,185000,132000,111000,2,9,5,11,5,0,0,0,0,0,0,0,43,Late Adult,Gen X,3450,1,0,27,1169000,0.0
S3,Menikah,65846000.0,0,0,2013-05-17,68,562000,81000,276000,80000,40000,81000,1,6,3,6,4,0,0,0,0,0,0,0,77,Late Senior,Boomers,3423,0,0,16,1120000,0.0
S1,Menikah,87195000.0,0,0,2014-05-08,35,217000,76000,690000,50000,26000,38000,1,3,11,5,1,0,0,0,0,0,0,1,63,Senior,Boomers,3067,0,1,20,1097000,1.0
SMA,Bertunangan,24594000.0,1,0,2013-12-10,94,1000,3000,6000,10000,0,9000,1,1,0,3,5,0,0,0,0,0,0,0,43,Late Adult,Gen X,3216,1,0,5,29000,0.0
S1,Menikah,49096000.0,1,1,2013-09-24,15,144000,1000,32000,2000,1000,7000,4,4,1,4,7,0,0,0,0,0,0,0,58,Senior,Boomers,3293,2,0,13,187000,0.0
S1,Menikah,52413000.0,0,2,2013-02-02,56,295000,106000,271000,75000,98000,65000,4,6,4,12,6,0,0,0,0,0,0,0,53,Mature,Gen X,3527,2,0,26,910000,0.0
S1,Lajang,38557000.0,1,0,2012-12-19,17,76000,3000,31000,4000,4000,27000,2,3,1,3,7,0,0,0,0,0,0,0,44,Late Adult,Gen X,3572,1,0,9,145000,0.0
S2,Menikah,89058000.0,0,0,2012-12-07,18,454000,194000,106000,31000,22000,43000,1,5,4,4,2,0,0,0,0,0,0,0,62,Senior,Boomers,3584,0,0,14,850000,0.0
S1,Bertunangan,77298000.0,0,1,2013-11-02,46,425000,115000,292000,23000,35000,79000,1,6,6,11,3,0,0,0,0,0,0,0,43,Late Adult,Gen X,3254,1,0,24,969000,0.0
S3,Lajang,68126000.0,0,0,2012-11-10,40,1332000,17000,311000,23000,51000,86000,1,7,4,5,9,0,1,0,0,0,0,1,31,Adult,Millennials,3611,0,2,17,1820000,0.2
S2,Bertunangan,57288000.0,0,1,2014-06-25,27,527000,0,21000,0,0,60000,3,8,1,8,6,0,1,0,0,0,0,0,59,Senior,Boomers,3019,1,1,20,608000,0.2
S1,Lajang,86037000.0,0,0,2013-01-02,95,490000,44000,125000,29000,20000,22000,1,6,7,11,3,0,1,1,0,0,0,1,31,Adult,Millennials,3558,0,3,25,730000,1.0
S3,Menikah,43974000.0,1,0,2012-12-12,19,378000,0,101000,0,0,72000,5,6,4,6,7,0,0,0,0,0,0,0,42,Late Adult,Gen X,3579,1,0,21,551000,0.0
S1,Lajang,50785000.0,1,1,2013-09-10,27,64000,1000,21000,0,1000,27000,2,2,1,3,6,0,0,0,0,0,0,0,60,Senior,Boomers,3307,2,0,8,114000,0.0
S1,Menikah,90765000.0,0,0,2014-01-24,25,547000,99000,812000,151000,82000,33000,0,4,6,5,1,0,0,1,1,0,0,0,52,Mature,Gen X,3171,0,2,15,1724000,2.0
D3,Menikah,36550000.0,1,0,2013-02-19,74,47000,90000,94000,123000,103000,120000,5,9,1,5,9,0,0,0,0,0,0,0,44,Late Adult,Gen X,3510,1,0,20,577000,0.0
D3,Bertunangan,30753000.0,1,1,2013-07-11,85,12000,5000,25000,0,9000,30000,2,1,1,3,5,0,0,0,0,0,0,0,55,Senior,Gen X,3368,2,0,7,81000,0.0
S1,Bertunangan,21918000.0,1,0,2013-11-14,37,1000,6000,7000,11000,5000,3000,2,2,0,3,6,0,0,0,0,0,0,0,53,Mature,Gen X,3242,1,0,7,33000,0.0
S2,Bertunangan,56129000.0,0,1,2013-06-20,65,320000,48000,133000,39000,72000,48000,4,6,2,10,4,0,0,0,0,0,0,0,69,Late Senior,Boomers,3389,1,0,22,660000,0.0
S2,Lajang,32557000.0,1,0,2014-02-24,13,34000,3000,29000,0,4000,10000,3,2,1,3,5,0,0,0,0,0,0,1,55,Senior,Gen X,3140,1,1,9,80000,0.2
S2,Menikah,19510000.0,2,0,2013-09-04,63,9000,0,7000,3000,4000,7000,2,1,0,3,7,0,0,0,0,0,0,0,37,Late Adult,Millennials,3313,2,0,6,30000,0.0
S1,Cerai,30992000.0,1,0,2013-04-22,83,17000,0,14000,7000,3000,2000,1,1,0,3,7,0,0,0,0,0,0,0,46,Mature,Gen X,3448,1,0,5,43000,0.0
S1,Lajang,101970000.0,0,0,2013-03-12,69,722000,27000,102000,44000,72000,168000,0,6,8,13,2,0,1,1,1,0,0,1,39,Late Adult,Millennials,3489,0,4,27,1135000,2.0
D3,Bertunangan,71488000.0,0,0,2013-02-18,87,162000,33000,124000,40000,28000,172000,2,3,4,7,1,0,0,0,0,0,0,0,57,Senior,Gen X,3511,0,0,16,559000,0.0
S1,Lajang,79607000.0,0,0,2013-04-21,37,450000,133000,951000,173000,0,216000,1,3,6,6,1,0,0,0,0,0,0,1,38,Late Adult,Millennials,3449,0,1,16,1923000,1.0
S2,Menikah,54348000.0,1,1,2014-06-08,51,70000,0,16000,0,0,4000,2,2,0,4,6,0,0,0,0,0,0,0,69,Late Senior,Boomers,3036,2,0,8,90000,0.0
S3,Bertunangan,77376000.0,1,1,2014-05-10,72,492000,19000,110000,16000,12000,12000,4,6,3,10,4,0,0,0,0,0,0,0,66,Late Senior,Boomers,3065,2,0,23,661000,0.0
S1,Menikah,62998000.0,0,1,2013-09-30,10,120000,58000,73000,65000,89000,58000,5,5,4,5,5,0,0,0,0,0,0,0,70,Late Senior,Boomers,3287,1,0,19,463000,0.0
S2,Duda,61331000.0,1,1,2013-03-10,42,534000,5000,47000,0,5000,41000,5,11,1,6,8,0,0,0,0,0,0,0,64,Senior,Boomers,3491,2,0,23,632000,0.0
S1,Menikah,73448000.0,0,0,2014-02-10,10,236000,106000,189000,23000,41000,130000,1,7,2,9,4,0,0,0,0,0,0,0,53,Mature,Gen X,3154,0,0,19,725000,0.0
S3,Menikah,41551000.0,1,1,2013-08-14,51,220000,0,33000,3000,0,23000,5,5,1,5,8,0,0,0,0,0,0,0,58,Senior,Boomers,3334,2,0,16,279000,0.0
S3,Bertunangan,62981000.0,0,0,2013-03-17,21,796000,14000,590000,38000,44000,0,1,4,5,13,3,0,1,0,0,0,0,0,55,Senior,Gen X,3484,0,1,23,1482000,0.3
SMA,Cerai,9548000.0,1,0,2012-08-08,31,0,1000,3000,10000,6000,9000,2,1,0,3,8,0,0,0,0,0,0,0,46,Mature,Gen X,3705,1,0,6,29000,0.0
S3,Menikah,33762000.0,2,1,2013-07-07,61,53000,1000,34000,2000,0,16000,3,2,2,2,8,0,0,0,0,0,0,0,63,Senior,Boomers,3372,3,0,9,106000,0.0
S3,Duda,35860000.0,1,1,2014-05-19,37,15000,0,8000,4000,2000,20000,2,1,1,2,5,1,0,0,0,0,0,1,49,Mature,Gen X,3056,2,2,6,49000,0.4
S3,Cerai,36921000.0,1,1,2013-07-28,74,17000,1000,12000,3000,1000,4000,2,2,0,3,7,0,0,0,0,0,0,0,57,Senior,Gen X,3351,2,0,7,38000,0.0
S2,Lajang,92859000.0,0,0,2012-10-19,46,962000,61000,921000,52000,61000,20000,1,5,4,12,2,0,0,0,0,0,0,0,30,Adult,Millennials,3633,0,0,22,2077000,0.0
S2,Bertunangan,65104000.0,0,1,2013-11-14,4,738000,0,232000,13000,20000,50000,2,3,5,7,7,0,0,0,0,0,0,1,46,Mature,Gen X,3242,1,1,17,1053000,0.1
S1,Menikah,86111000.0,0,0,2013-04-19,73,399000,28000,756000,36000,40000,126000,1,5,7,10,2,0,0,0,0,0,0,0,60,Senior,Boomers,3451,0,0,23,1385000,0.0
S3,Lajang,68352000.0,0,1,2013-08-28,47,614000,16000,132000,43000,33000,33000,3,8,5,9,6,0,0,0,0,0,0,0,48,Mature,Gen X,3320,1,0,25,871000,0.0
S1,Bertunangan,41883000.0,1,0,2013-03-19,13,32000,34000,41000,73000,16000,116000,3,4,2,3,7,0,0,0,0,0,0,0,34,Adult,Millennials,3482,1,0,12,312000,0.0
S1,Menikah,59809000.0,0,2,2012-10-18,36,598000,16000,141000,32000,41000,49000,3,3,3,6,8,0,0,0,0,0,0,0,46,Mature,Gen X,3634,2,0,15,877000,0.0
S1,Menikah,23957000.0,1,0,2012-10-28,47,2000,1000,18000,20000,11000,16000,1,2,0,3,6,0,0,0,0,0,0,1,47,Mature,Gen X,3624,1,1,6,68000,0.2
S1,Bertunangan,38547000.0,1,0,2013-08-28,49,6000,1000,10000,0,1000,4000,1,1,0,2,8,0,0,0,0,0,1,0,41,Late Adult,Millennials,3320,1,0,4,22000,0.0
D3,Menikah,35688000.0,2,1,2012-08-22,94,73000,3000,90000,12000,1000,32000,7,4,1,4,8,0,0,0,0,0,0,0,49,Mature,Gen X,3691,3,0,16,211000,0.0
